label_id,fr,it
label-select-category-1,Tous les rayons,
label-select-category-2,Conserves et alimentations,
label-select-category-3,Fruits et légumes,
label-select-category-4,Viandes et poissons,
label-select-category-5,Produits laitiers,
label-select-category-6,Boissons et alcool,
label-select-category-7,Hygiène et beauté,
label-select-category-8,Bureau et papeterie,
label-select-shop,Tous les magasins,
label-button-all,Tout sélectionner,
label-button-clear,Effacer la sélection,
label-mobile-switch-1,Liste des articles,
label-mobile-switch-2,Ticket de caisse,
label-product,Produit,
label-quantity,Quantité,
label-brand,Marque,
label-no-brand,Aucune,
label-shop,Magasin,
label-price-then,Prix initial,
label-price-now,Prix actuel,
label-price-evolution,Evol. du prix,
label-chart-price,Prix ,
label-chart-date,Date,
label-receipt-none,Aucun produit sélectionné,
label-receipt-price-1,Prix<br>actuel,
label-receipt-price-2,Evol.<br>depuis,
label-receipt-total,TOTAL,
label-receipt-evolution,EVOLUTION DU PRIX,
label-receipt-diff-1,Différence Coop,
label-receipt-diff-2,Différence Migros,
label-receipt-address,Quai Ernest-Ansermet 20<br>1211 Genève,
label-receipt-footer,MERCI ET À BIENTÔT,
label-description-1,Comparez l'évolution des prix parmi une sélection de produits de consommation courante. Cliquez sur un ou plusieurs articles pour constituer votre panier. Chaque produit est ajouté directement sur le ticket de caisse.,
label-description-2,"Si vous changez de rayon, les produits sélectionnés le restent. Pour obtenir le détail de chaque produit, cliquez sur le bouton ⓘ en haut à droite de chaque article.",
label-description-3,"L'application, ses fonctionnalités et ses données sont amenées à évoluer. Il se peut que l'utilisation ou les produits référencés soient modifiés au fil des semaines.",
